hhid,region,town,n_species,n_ecosystems,Sell,autoconsumption,O_uses,n_preparations,n_Agr_pract
1687,Molino-Umari,NA,2,2,0,2,0,1,1
1688,Molino-Umari,NA,2,2,0,2,0,1,1
1690,Molino-Umari,NA,1,1,0,1,0,1,1
1694,Molino-Umari,NA,3,2,0,3,0,1,1
1695,Molino-Umari,NA,2,2,1,1,0,1,1
1696,Molino-Umari,NA,9,2,0,9,0,3,1
1697,Molino-Umari,NA,4,5,0,4,0,3,1
1700,Molino-Umari,NA,4,3,0,4,0,3,1
1701,Molino-Umari,NA,6,2,0,6,0,3,6
1702,Molino-Umari,NA,7,2,0,7,0,2,6
1703,Molino-Umari,NA,1,2,0,1,0,1,1
1705,Molino-Umari,NA,2,1,0,2,0,1,1
1706,Molino-Umari,NA,3,3,0,3,0,3,1
1707,Molino-Umari,NA,2,1,1,1,0,1,4
1710,Molino-Umari,NA,3,2,0,3,0,1,1
1711,Molino-Umari,NA,3,3,0,3,0,1,1
1712,Molino-Umari,NA,4,2,0,4,0,4,7
1716,Molino-Umari,NA,3,1,0,3,0,3,1
1718,Molino-Umari,NA,6,3,0,6,0,3,3
1719,Molino-Umari,NA,5,1,0,5,0,1,7
1721,Molino-Umari,NA,2,3,0,2,0,1,1
1722,Molino-Umari,NA,2,1,0,2,0,1,1
1723,Molino-Umari,NA,3,2,0,3,0,3,1
1724,Molino-Umari,NA,2,1,0,2,0,1,1
1727,Molino-Umari,NA,1,1,0,1,0,1,1
1728,Molino-Umari,NA,4,2,0,4,0,3,1
1733,Molino-Umari,NA,6,2,0,6,0,2,1
1734,Molino-Umari,NA,3,2,0,3,0,1,1
1736,Molino-Umari,NA,1,1,0,1,0,1,1
1738,Molino-Umari,NA,3,1,0,3,0,1,1
1740,Molino-Umari,NA,4,3,0,4,0,4,1
1743,Molino-Umari,NA,1,1,0,1,0,2,1
1746,Molino-Umari,NA,2,2,0,2,0,3,1
1747,Molino-Umari,NA,7,2,0,7,0,3,1
1749,Molino-Umari,NA,3,2,0,3,0,1,1
1750,Molino-Umari,NA,1,2,0,1,0,1,2
1752,Molino-Umari,NA,4,5,0,4,0,3,3
1756,Molino-Umari,NA,2,2,0,2,0,1,1
1757,Molino-Umari,NA,5,1,0,5,0,4,5
1759,Molino-Umari,NA,7,3,0,7,0,3,6
1760,Molino-Umari,NA,6,3,0,6,0,2,8
1761,Molino-Umari,NA,1,1,0,1,0,1,1
1762,Molino-Umari,NA,2,2,0,2,0,1,1
1763,Molino-Umari,NA,2,1,0,2,0,3,1
1765,Molino-Umari,NA,2,1,0,2,0,1,1
1768,Molino-Umari,NA,4,2,0,4,0,1,3
1771,Molino-Umari,NA,4,2,1,4,0,2,1
1774,Molino-Umari,NA,1,1,0,1,0,1,1
1776,Molino-Umari,NA,2,1,0,2,0,1,1
1778,Molino-Umari,NA,2,3,0,2,0,1,1
1779,Molino-Umari,NA,2,2,0,2,0,2,1
1780,Molino-Umari,NA,2,2,0,2,0,1,1
1781,Molino-Umari,NA,3,2,0,3,0,3,1
1783,Molino-Umari,NA,4,1,0,4,0,1,1
1786,Molino-Umari,NA,9,2,0,9,0,2,2
1787,Molino-Umari,NA,8,2,0,8,0,3,1
1788,Molino-Umari,NA,7,2,0,7,0,3,1
1794,Molino-Umari,NA,1,2,0,1,0,1,1
1795,Molino-Umari,NA,3,1,0,3,0,1,4
1799,Molino-Umari,NA,8,2,0,8,0,3,6
1800,Molino-Umari,NA,5,3,0,5,0,2,1
1803,Molino-Umari,NA,5,7,0,5,0,3,1
1805,Molino-Umari,NA,5,2,0,5,0,1,1
1806,Molino-Umari,NA,1,1,0,1,0,1,1
1807,Molino-Umari,NA,8,4,1,8,0,3,5
1808,Molino-Umari,NA,9,2,0,9,0,3,1
1811,Molino-Umari,NA,7,5,0,7,0,2,4
1815,Molino-Umari,NA,9,2,0,9,0,3,1
1816,Molino-Umari,NA,2,2,0,2,0,1,1
1817,Molino-Umari,NA,4,1,0,4,0,1,1
1818,Molino-Umari,NA,5,2,0,5,0,1,1
1819,Molino-Umari,NA,5,1,0,5,0,1,1
1820,Molino-Umari,NA,6,2,0,6,0,2,1
1822,Molino-Umari,NA,3,4,0,3,0,1,1
1825,Molino-Umari,NA,1,1,0,1,0,2,1
1827,Molino-Umari,NA,4,2,0,4,0,1,2
1828,Molino-Umari,NA,5,3,0,5,0,2,1
1830,Molino-Umari,NA,4,2,0,4,0,2,1
